address1,city,zip,subDivision,state,beds,baths,full_baths,half_baths,price,lotSizeSqFt,sqft,yearBuilt,dateAdded,description
 Address Withheld,Edmonton,T5Y 1H7,Hairsine,AB,4,3,2,1,"$329,900",6100.66,1098,1978,10/5/2021,"Awesome 1098 square foot, 3 bedroom 3 bathroom bungalow in Hairsine! Sunken living room with huge front windows,  open kitchen with separate eating area, comes with all appliances including built in dishwasher. 3 bedrooms up including large Primary suite with 2 piece ensuite bathroom. Basement is fully finished and features large family room, 1 additional (bed) room (not egress window), office/den, 3 piece bathroom, storage room and laundry area. Huge backyard and Double oversized garage! Recent upgrades include New laminate flooring throughout most of the main floor, new paint, new roof and eaves on the house. This home is close to everything! Including lots of schools, bus routes, Manning Towne Center, Clareview Rec Center, Cineplex and tons of restaraunts. Only 15 minutes to the Edmonton Garrisson!"
11315 125 Street,Edmonton,T5M 0M8,Inglewood (Edmonton),AB,3,3,2,1,"$435,000",7498.24,1269,1934,10/5/2021,"TALK ABOUT CHARACTER ! This 1 and half storey home has all the charm with modern day upgrades. The main floor features a cozy family room with a beautiful masonry fireplace, front den with custom millwork perfect for an office or playroom, large dining room, a kitchen equipped with S.S. appliances, and a newly renovated 4 pce bath! Upstairs you will find 2 bedrooms - including the cozy upstairs master with its own 2pce ensuite - and a bonus room. Fully finished basement contains the 3rd bedroom, 3pce bathroom and laundry room, play area/second den, and lots of storage space! Many interior and exterior upgrades have been completed including new windows (2010), Roof (2010), Sump pump (2020), electrical, weeping tile (2008), paint, bathrooms, deck (2011), EAVES (2021), regrading (2021) and extensive tree maintenance! Huge backyard & double garage! Close to downtown, shopping and schools. You do not want to miss out on this gem located on one of the most beautiful tree lined streets. 50x150 FT LOT!!"
217 Kirpatrick Way,Leduc,T9E 1B5,West Haven,AB,3,3,2,1,"$344,900",4599.95,1587,2014,10/5/2021,"This 1586 sq/ft West Haven 2 storey has been freshened up for its new owners with new carpet, laminate flooring & fresh paint throughout. Triple pane windows for added efficiency. The floorplan is sure to please with upstairs laundry complete with a front load laundry pair & folding counter. Whether your working from home or need a distance learning space for the kiddo's- the main floor den is big enough to accommodate your needs. The open living/dining room's offer space & functionality. The kitchen is fully loaded with full height cabinets accented with crown molding & under cabinet lighting, quartz counters, GAS range, corner pantry & center island. Upstairs, the Primary bedroom will satisfy all of life's modern needs with a healthy walk-in closet & 3pc bath complete with a full height tile surround walk-in shower. 2 junior bedrooms & a 4 pc bath complete this floor. Walking distance to K-9 School. Immediate possession. Comfort & convenience- this one just makes sense. *Select photos virtually staged*"
321 Christina Lake Drive,Rural Reg Mun Wood Buffalo,T0P 1H1,None,AB,2,2,2,-1,"$569,000",-1.0,1714,1992,10/5/2021,"BEAUTIFUL Log Home with a Spectacular Lakefront view on a TROPHY Fishing lake!   The design of this home is perfect, it is a A Frame with a wall of windows letting in all the natural light and a large fieldstone fireplace that follows to the top of the soaring CATHEDRAL ceiling. The main floor is OPEN concept so you can enjoy the views from the Great Room as well as the dining and the large U-shaped kitchen has a window overlooking the lake and what a view that is! The master bedroom is on the main floor with En-suite and there is a loft where the 2nd bedroom, bath and possible room for another bedroom or entertainment area is. The 2 Car Garage is heated, one of the doors is Oversized for your large toys, the other is standard. This home sits on a large private lot with mature trees, large wrap around deck and one side is covered with hook up for gas bbq as well.  This Home and Lot is one piece of Heaven! Town is 5 min away and offers the Multi Plex, Karen's Corner, the school, gas station, corner store."
3809 Chrustawka Place,Edmonton,T6W 4M8,Chappelle Area,AB,3,3,2,1,"$339,900",2832.31,1315,2018,10/5/2021,"Welcome to the family-friendly neighbourhood of Chappelle. Located near parks, outdoor fitness spaces, community gardens, a splash pad, playground and 2 skating rinks this house is perfect for the growing family. This former showhome is a 2 storey, 3 bedroom, 3 bathroom half duplex that features a great open concept and large windows throughout for plenty of natural light. The kitchen offers an island w/ breakfast bar, plenty of counter and cabinet space, as well as upgraded stainless steel appliances. The upper level features the large master bedroom with a walk in closet and 4pc ensuite bath, 2 additional good sized secondary rooms, 4pc bath and full laundry room. . This property provides plenty of yard space in both the front and back and comes with natural gas hookup as well as air conditioning. Come see for yourself before it's gone!"
14227 83 Street,Edmonton,T5E 2X8,Northmount (Edmonton),AB,3,3,1,2,"$326,800",-1.0,1213,1971,10/5/2021,"MOVE IN READY with MANY UPGRADES! LARGE BUNGALOW and BRIGHT - you will appreciate the large picture windows making this open concept bright & inviting with a large living/dining room- perfect for entertaining! You will LOVE the renovated Chefs kitchen offering solid MAPLE cabinets, granite counters, stainless steel appliances, easy clean tile backsplash with a nice dinette area & convenient patio doors leading to your deck & fenced yard. The main floor has 3 larger bedrooms, 1.5 baths and a fully developed bsmt including a large games rm with a rustic feature wood wall, a third bathroom and potential for 2 more bedrooms if needed. Major upgrades over the years include the complete kitchen, windows, flooring, trim/doors, lighting, fresh paint & NEW SHINGLES.  Windows are large allowing lots of natural light into the home. The HUGE, OVERSIZED (25.3x21.2)/HEATED garage can accommodate large trucks and make for a great work shop - yard is FENCED for children and pets safety. Close to SCHOOLS, SHOPPING & more!"
"202, 57312 RR 25",Rural Barrhead County,T0E 1A0,Moonlight Bay_Cbar,AB,2,-1,-1,-1,"$129,000",-1.0,920,1980,10/5/2021,"Private getaway, close to the lake.  This 2 bedroom bungalow is only minutes to the lake, treed and is very private with some open space.  Room to park your rv. with power and phone into the cabin."
432 Crystallina Nera Drive,Edmonton,T5Z 0P5,Crystallina Nera West,AB,3,3,2,1,"$363,000",2743.5,1281,2017,10/5/2021,"Investors or first home buyers alert! Be impressed by this MODERN half duplex located in the heart of Crystallina with NO CONDO FEES! This stunning 2 Storey features totals 3 bedrooms, 2.5 baths & single ATTACHED GARAGE. Main floor offers 9 feet high ceilings/beautiful neutral colors/gorgeous laminate flooring through out. Dining area adjacent to spacious kitchen offers modern cabinets/large kitchen granite counters/pantry & SS appliances. Bright living room boasts cozy fireplace overlooking to deck & landscaped & fenced back yard, perfect for kids & pets! Upper floor comes with 3 sizable bedrooms, laundry room & 4pc bathroom. Master bedroom with walk-in closet & 4pc en-suite. CENTRAL AIR CONDITIONING/TRIPPLE PANE WINDOWS & BUILT GREEN HOME. Separate Side Door Entrance to basement w potential suite development. Great location with easy access to Playground/Schools/Anthony H Dr/Manning Town C/Bus routes/Clareview LRT Station & all amenities. Quick possession available. Shows 10/10!"
2 Willowbrook Crescent,St. Albert,T8N 3J1,Woodlands (St. Albert),AB,4,3,2,1,"$419,900",6888.9,1259,1979,10/5/2021,"Positively stunning 4 bed/3 bath home settled on quiet oversized tree-lined lot in the heart of the extremely desirable central neighborhood of Woodlands. Natural sunlight permeates throughout the nearly 1,832+ sq.ft of living space. Breezy front-foyer effortlessly transitions into spacious living room accented with oversized picture frame front window. To the side, dining space with access to picturesque kitchen featuring crisp white cabinetry, updated appliances, and breakfast nook. Downstairs reveals 3pc bath, sizable 4th bedroom, and expansive great room replete with cozy wood burning fireplace with brick detailing. Upstairs includes 4 pc bath, large 2nd & 3rd bedrooms as well as double door access to impressive primary bedroom appointed w/ walk-in closet and renovated 3 pc ensuite. Backyard is natural oasis with oversized patio and yard space perfect for entertaining. Add'l amenities include heated 26' x 27' double garage w/ drain and vinyl windows. Awesome location puts you steps from school & park."
5015 126 Street,Edmonton,T6H 3W1,Lansdowne,AB,5,3,2,1,"$729,800",8160.76,2380,1967,10/5/2021,"Here's your chance! This beautiful five bedroom family home is situated on the greenbelt leading the U of A farm and just one block off the Whitemud Creek Ravine. many upgrades have been completed in this home since 2013. renovations include flooring upgrades, painting all the bathrooms have been renovated and then there is the spectacular Chef's or Bakers kitchen with marble and granite countertops upgraded appliances huge central island, finished basement with media room projector and screen. All this on a fantastic Lansdown lot with oversized deck with natural gas outlets for the barbeque and fire table."
80 Mckenzie Place,Leduc,T9E 1A4,Meadowview Park_Ledu,AB,5,4,3,1,"$535,000",-1.0,2255,2016,10/5/2021,"This beautiful fully finished 2 Storey sits in a quiet cul de sac backing a green space in the desired neighborhood of Meadowview.  As you enter the home you are met with a large entrance with views across the home. On the main floor is your Living room, Kitchen, dining room with access to your large deck over looking your southwest facing back yard, walk through pantry leading to your oversized double attached garage.  Upstairs is the bonus room, 4pc bathroom, laundry room, 2 large bedrooms and a very large Primary bedroom with a 5pc ensuite and walk in closet. Down stairs is 2 more bedrooms, 4pc bathroom, storage and a large family room. This home has it all!"
541 Lakeshore Drive,Rural Wetaskiwin County,T0C 0T0,Buck Lake,AB,3,1,1,-1,"$295,000",-1.0,1254,2012,10/5/2021,"ONCE IN A WHILE We list a real bargain. This is it! This cozy home is in the hamlet of Buck Lake just across from easy access to the lake shore. Sitting on a double lot and over a quarter acre in size it is surrounded by mature trees for privacy. Step inside to find an inviting living room with vaulted ceilings and white on color ceiling work. The huge kitchen has ample cupboard space, stainless steel appliances and the island overlooking the dining room. The bright and spacious owner's bedroom has garden doors leading onto the back deck. Two other good size bedrooms, laundry and utility room complete this home. The garden door from the living area leads onto the huge back deck and a nice size yard. Double detached garage and lots of parking completely fenced for your four legged friends and security. Buck lake is known for great fishing but the fun does not have to end there... Realistic price makes dreams affordable! It could be yours to enjoy for years to come!"
9019 181 Avenue,Edmonton,T5E 1G2,Klarvatten,AB,4,3,2,1,"$542,900",4463.25,2653,2013,10/5/2021,*Please note* property is sold  as is where is at time of possession . No warranties or representations
5 27314 Twp Rd 534,Rural Parkland County,T7X 3R9,Baileys Park,AB,6,4,4,-1,"$725,000",-1.0,2531,2005,10/5/2021,"Minutes to Spruce Grove! Pavement to driveway! Triple heated garage! Set for family living is your next home located at 5 Baileys Park. This rare opportunity offers a 2500+ sq ft fully finished two storey with 4 bedrooms above grade and has been adored by its original owners since day one. Upon entering, you'll feel the sense of \u0022home\u0022 with its cozy, yet functional spaces including main floor den, huge boot room, wood fireplace, a kitchen that is set for entertaining and so much more! Upstairs are 4 bedrooms including your primary retreat with a bright en-suite that you'll enjoy using every day! The basement is fully finished with two more bedrooms, a spacious living room, bar area, and a flex den space! Outside is just the right amount of space with room for parking for the whole family! Dream heated garage has floor drain, hot and cold taps and plenty of space. All of this and more located in a desired subdivision! Loaded with value!"
6008 44 Avenue,Beaumont,T4X 0J1,Goudreau Terrace,AB,4,5,5,-1,"$599,900",-1.0,2669,2011,10/5/2021,"WOW, this Executive 2 Story homes shows better than a Show Home. This home is loaded with Upgrades and a Fully finished Walkout Basement. Upgrades include: 5 Bedrooms, 5 Full Bathrooms, Custom Cabinets, Entertainers Kitchen, two Gas Fireplaces, Upgraded Engineered Flooring, Granite Countertops, Stainless Steel Appliances, Large Bonus Room, His and Hers Sinks in the Spa Like Master Ensuite, Theater Room, Fully finished basement with Separate Entrance. Fully Fenced Yard, Excellent Location. On a Great Street close to Shopping and Schools."
15803 63 Street,Edmonton,T5Y 2R8,Matt Berry,AB,5,4,4,-1,"$599,900",7368.54,2292,1992,10/5/2021,"Stunning, meticulously maintained, fully finished 2-storey home in Matt Berry. FEATURING a total of: 5 bedrooms above grade, 4 full baths & 2 kitchens, tucked away in a cul-de-sac on a large pie lot-backing onto green space. Main floor vaulted grand entrance, w/ access into living & dining room. Overlooking the backyard is your renovated kitchen w/ granite countertops & s/s appliances. The kitchen opens into your 2nd living room w/ brick feature wood burning f/p. A 3-piece bath & access to garage complete this floor. Upstairs boasts 4 large bedrooms: primary has his/hers closets, a spa like 5-piece en-suite: jacuzzi tub, spa shower, & his/hers sinks. There are 3 additional large bedrooms, a 5-piece bath & laundry. Basement is fully finished w/ kitchen, huge rumpus room, bedroom, 3-piece bath & ample storage. Upgrades: A/C,granite countertops above grade,tile & hardwood throughout main floor,hwt(2016),shingles(June 2021),east fence(2018). Completely private, SW backyard w/ deck, landscaped & fully fenced."
12109 122 Street,Edmonton,T5L 0C9,Prince Charles,AB,3,3,2,1,"$459,000",3056.62,1685,2019,10/5/2021,"Custom built by Designer Builder Kimberley Homes is this ultra modern family home! Walk in and be wowed by the high end finishes with modern laminate floors, huge bright windows and open plan concept.  A chef's dream kitchen has large granite island, stainless steel appliances and corner pantry.  The 9FT CEILINGS have designer lighting, the main floor den leads to an awesome mud room and onto maintenance free deck.  Upstairs the primary suite has a HUGE SPA LIKE 5 pc ensuite, 2 additional bedrooms and convenient upper floor laundry.  The unfinished basement has SEPARATE ENTRANCE for potential SUITE and is ready for your finishing touches. Rough in for gas bbq. This fantastic neighbourhood is revitalized and up and coming, close to Westmount, Kingsway, river valley and downtown.  The BEST location!"
12107 122 Street,Edmonton,T5L 0C9,Prince Charles,AB,3,3,2,1,"$459,000",3051.24,1697,2019,10/5/2021,"Custom built by Designer Builder Kimberley Homes is this ultra modern family home! Walk in and be wowed by the high end finishes with modern laminate floors, huge bright windows and open plan concept.  A chef's dream kitchen has large granite island, stainless steel appliances and corner pantry.  The 9FT CEILINGS have designer lighting, the main floor den leads to an awesome mud room and onto maintenance free deck.  Upstairs the primary suite has a HUGE SPA LIKE 5 pc ensuite, 2 additional bedrooms and convenient upper floor laundry.  The unfinished basement has SEPARATE ENTRANCE for potential SUITE and is ready for your finishing touches. Roughed in for gas bbq. This fantastic neighbourhood is revitalized and up and coming, close to Westmount, Kingsway, river valley and downtown.  The BEST location!"
2 Dawson Avenue,Fort Saskatchewan,T8L 0X3,South Fort,AB,3,3,2,1,"$459,900",3684.05,1838,2021,10/5/2021,"WELCOME TO SOUTHPOINTE in FORT SASKATCHEWAN. 3 Bedrooms + Den room / 4th bedroom + Bonus Room, 2.5 Baths. This brand-new 1838 sqft Double-Car Garage house is filled with luxury finishes. Main floor boasts spacious living room with OPEN TO ABOVE ceiling and electric Fireplace, DEN ROOM, Kitchen with large Island, QUARTZ countertops throughout, Stainless Steel Appliances, Pantry with MDF shelving. Spacious nook, mudroom and 2-piece bath complete this floor. Upstairs you are welcomed with Spindle RAILING, Large BONUS ROOM, Primary bedroom with spa-like 5-piece ensuite and Walk-in closet with MDF closet organizers, 2 additional bedrooms, 4-piece bath and upstairs laundry finishes this floor. SIDE ENTRANCE for the future basement suite and rough-ins, 9 ft Ceilings, Large Deck and many more upgrades. Minutes to all amenities including schools, parks, shopping, Anthoney Henday etc. A MUST SEE!!! Photos and virtual tour of showhome. Actual house and specs vary."
137 Bela Drive,Millet,T0C 1Z0,Millet,AB,6,5,4,1,"$699,900",-1.0,2595,2016,10/5/2021,"This is a perfect mix between acreage and city life. Enjoy the luxury of nature, peace and quiet, and a large lot (.7 of an acre), while at the same time, not worrying about septic systems, water wells, or cisterns. This home is on municipal water/sewer. This 2600 sq/ft W/O bungalow features an open concept main floor with vaulted ceilings, and a beautiful South facing wall of windows overlooking an evergreen forest. The kitchen, dining room, and living room are massive and have all the features you would expect in a luxury home. The main floor features the primary bdrm with stunning ensuite that includes a freestanding tub and W/I shower. Two additional bedrooms, a 5 pc bath, a powder room, laundry area and mud room complete main floor. The fully finished basement has 3 additional bedrooms, a jack/jill bathroom, another full bath, huge rec room, and a theatre room! The yard features a concrete firepit area, and backs onto a natural creek. The triple garage is 47'x27' with plenty of room for everything."
5526 50 Street,Vegreville,T9C 1K3,Vegreville,AB,2,1,1,-1,"$119,500",3899.87,620,1951,10/5/2021,"Cozy 2 Bedroom Home Located Close to Shopping and Most Amenities in the Progressive Town of Vegreville. Upgrades in Recent Years Include Fresh Paint, Kitchen Cabinets, Laminate Flooring, Upgraded Appliances, Steel Insulated Entrance Doors, 100 AMP Electrical Panel Box and Newer Washer & Dryer. Fenced Back Yard Gives You Plenty of Room for a Garden, Lawn Area and Still Plenty of Room for Family Activities or to Store Your RV'S etc. Perfect Starter Home, Affordable Retirement Home or Investment Property."
9008 97 Street,Fort Saskatchewan,T8L 1S7,Sherridon Heights,AB,4,2,2,-1,"$335,000",6599.99,1026,1968,10/5/2021,"Located in the family orientated community of Sherridon Heights! As you enter this home you're welcomed by vaulted ceilings and a modern open layout. The main floor features a bright, spacious living room, kitchen featuring solid wood cabinets, ample counter space and a spacious walk-in pantry, and sunny dining area with patio doors to the yard.  Beautiful, refinished hardwood throughout. Upstairs the primary bedroom features a walk in closet and private patio door to the deck. 1 more bed and 4 pce bath finish this level. The 3rd level features 2 spacious bedrooms and a 4 pce bath. Downstairs offers a large family room with fantastic built-in, pull-out storage, a great office/craft area with new flooring, and laundry room. The fully fenced backyard is large and private featuring an apple and cherry tree, shed, fire pit area, plus new double tiered deck. Single attached heated garage. Newer siding, some new windows, new fixtures, newer hot water tank, many upgrades throughout. This is a great family home!"
1 Dawson Avenue,Fort Saskatchewan,T8L 0X3,South Fort,AB,4,3,2,1,"$474,900",4092.97,1945,2021,10/5/2021,"WELCOME TO SOUTHPOINTE in FORT SASKATCHEWAN. 4 Bedrooms + Bonus Room, 2.5 Baths. This brand-new 1945 sqft Double-Car Garage house is filled with luxury finishes. Main floor boasts spacious living room with OPEN TO ABOVE ceiling and electric Fireplace, Main floor BEDROOM, Kitchen with large Island, QUARTZ countertops throughout, Stainless Steel Appliances, walk-in Pantry with MDF shelving. Spacious nook, mudroom and 2-piece bath complete this floor. Upstairs you are welcomed with Spindle RAILING, Large BONUS ROOM, Primary bedroom with spa-like 5-piece ensuite and Walk-in closet with MDF closet organizers, 2 additional bedrooms, 4-piece bath and upstairs laundry finishes this floor. SIDE ENTRANCE for the future basement suite and rough-ins, 9 ft Ceilings, Large Deck and many more upgrades. Minutes to all amenities including schools, parks, shopping, Anthoney Henday etc. A MUST SEE!!! Photos and virtual tour of showhome. Actual house and specs vary."
4116 157 Avenue,Edmonton,T5Y 0E1,Brintnell,AB,3,3,2,1,"$449,900",-1.0,2254,2006,10/5/2021,"Conveniently located near so many shopping and dining options, your whole family will love the location. There's plenty of natural light in this beautiful 2-story home in Brintnell. Impeccable tile flooring throughout the main floor. You'll love the stylish archways that connect adjoining rooms. The kitchen is complete with extra glass cabinets above the dishwasher. If you prefer a more open concept this could be removed. The primary suite has a large walk-in closet and a 4-piece ensuite with a luxurious soaker tub.  Beyond the French doors to the primary suite there are two additional bedrooms, a bathroom, and a large bonus room with gorgeous vaulted ceilings.  You'll love the backyard with a spacious deck. With more than 2250sq ft this fantastic home won't last."
9943 88 Avenue,Edmonton,T6E 2R4,Strathcona,AB,4,3,2,1,"$575,000",-1.0,1377,1913,10/5/2021,"MAJOR UPGRADES, STRATHCONA LOCATION, GORGEOUS HOME! 3+1 bedroom, 2.5 bath home in sought-after Strathcona. The previous owner spent over $200,000 in upgrades: wiring and plumbing throughout, insulation / drywall, upgraded kitchen with granite counters and heated slate tile floors, double 22'x20' double garage. Beautiful mix of original character and practical, modern upgrades. Original hardwood floors, wide casings and trim, original doors, hardware and fireplace. Bright main floor with large living room with classic fireplace, dining room, renovated kitchen and half bath. Second floor has a lovely updated balcony, three spacious bedrooms plus a renovated full bath with tub, glass shower and classic vanity. The basement is a separate, legal suite, with kitchen (new stove), 3-piece bath, and open living room / bedroom area that could be enclosed. Sunny south backyard. Walk to the Farmer's Market, the River Valley, Whyte Ave or the U of A. Photos taken previously."
7 Whitetail Way,Mundare,T0B 3H0,Mundare,AB,3,3,2,1,"$309,900",-1.0,1786,2007,10/5/2021,"Check out this gorgeous 1700Sqft 2-storey home just 45mins East of Sherwood Park! Picture being just steps from the Whitetail Crossing Golf Course! As you enter the home you are greeted by a spacious entrance that leads you into the open concept main floor. The U-shape kitchen has a ton of cabinets and counter space, stainless steel appliances, an eating bar peninsula and beautiful 2 tone cabinetry. Off the kitchen is a spacious living room and a dining area with patio access to the back yard deck. MAIN FLOOR LAUNDRY ROOM with built in cabinetry and a 2PC bathroom complete the main floor. Upstairs you will find a BONUS ROOM, 4PC main bathroom and three good size bedrooms. The master bedroom features a WALK IN CLOSET with additional storage area plus a gorgeous 4PC ENSUITE with STEAM SHOWER! The basement awaits your personal finishing touches. A large fully fenced and landscaped yard and a DOUBLE ATTACHED GARAGE complete this great property!"
10671 63 Avenue,Edmonton,T9J 1C6,Allendale,AB,4,2,2,-1,"$500,000",5802.07,1038,1952,10/5/2021,"Welcome to Allendale: Wonderful Home with Open Concept LEGAL BASEMENT SUITE! Located on a quiet tree lined street - this BRIGHT and SUNNY Renovated House is Fresh and Move In Ready! Main Floor Features ALL NEW Vinyl Plank Flooring, New Updated Windows, New Kitchen with Stainless Steel Appliances - Completely Renovated Bathroom! Main Floor with 2 Generous Bedrooms. The Basement has a SEPARATE ENTRANCE to the LEGAL 2 Bedroom Suite with Permits - Nice Big Windows with Open Concept Plan - Large Kitchen/Dining/Living Area - Very Easy to Rent Out in this Desirable Location! Sunny South Facing Backyard on a 44x132FT LOT - Large Enough for a Duplex for Future Development. This Home has Underwent Significant Renovations and Comes Complete with a Lifetime Warranty on the Waterproofed Basement!! Located SO CLOSE to Whyte Avenue, University of Alberta and Great Access Downtown - The Neighbourhood has great SCHOOLS and PARKS in the area!"
7312 86 Avenue,Edmonton,T6B 0K7,Kenilworth,AB,6,3,3,-1,"$519,900",5939.74,1443,1978,10/5/2021,"Welcome to this absolutely immaculate home in the desirable Kenilworth Area! The location is great with quick access to downtown and Whyte Ave! This 1443sqft home has seen massive updates in the last few years including NEW WINDOWS throughout, new shingles, RENOVATED KITCHEN with rollout shelves and soft close doors and drawers, new furnace, H2O Tank, upgraded attic insulation and the list goes on! There are 3 spacious bedrooms on the main floor with the primary having its own 3PC ENSUITE. The main 4PC bathroom has been completely updated with gorgeous tile and walk-in shower. The basement is FULLY FINISHED with large, newer triple pane windows, a SECOND KITCHEN, 3 more bedrooms and a 3PC Bathroom. The back yard is private and spacious for outdoor gatherings. A double detached garage finishes off this amazing home!"
2312 78 Street,Edmonton,T6X 1S6,Summerside,AB,3,3,2,1,"$424,900",3500.1,1475,2013,10/5/2021,"Summerside!!  The perfect Jayman built home awaits you .  Access to the Summerside Beach House, walking distance to schools and plenty of shopping close by. The layout of this 3 bedroom home is great as it has an open floor plan, large windows which allow lots of natural light into the home and an open space from the main floor to the basement. The Basement living room adds extra living space for your families needs.  Air Conditioning, double detached garage, fully landscaped/Fenced yard and priced to sell!!  Do not miss out on this great property."
4729 44 Avenue,Bonnyville Town,T9N 1N6,Bonnyville,AB,3,2,2,-1,"$304,900",-1.0,1056,1967,10/5/2021,"Looking for a place to call home? This home is 1056 sq feet with three bedrooms up, kitchen and seperate dining area, living room that allows natural light in, and a four piece bathroom. Lower level contains a family room with a pellet stove, large laundry area, toy room,  three piece bathroom with a steam shower, and two more larger rooms left for you to decide what you want them to be. Outside is a beautiful fenced off yard with a sliding gate, two sheds, fruit trees, firepit area, and stamped concrete for that added finishing touch. Upgrades include new shingles (Oct 2021), Doors, Siding, Deck, furnace and hot water tank. Dont miss out come and see it today!"
5 Westpark Road,Fort Saskatchewan,T8L 3X1,Westpark_Fsas,AB,4,3,3,-1,"$635,900",9192.05,2201,1991,10/5/2021,"Beautiful custom-built AIR-CONDITIONED home! Main floor features Living Room, Family Room w/ cozy WOOD BURNING FIREPLACE, MAIN-FLOOR BEDROOM & full Bath. Half a flight of stairs up are the formal Dining Area & upgraded Kitchen w/ plenty of white-pearl cabinets & modern stainless steel appliances. Upper level features large MASTER with a WALK-IN CLOSET & its own 4pc ENSUITE Bath w/ JET TUB, 2 more Bedrooms, & another 4 pc Bath. Lower level w/ spacious 2nd Family Room, and basement w/ huge Rec Room provide lots of space for your entire family entertainment. Low maintenance DECK w/ GLASS RAILING & COVERED PATIO overlooking huge private & LANDSCAPED yard are perfect for summer BBQs & for enjoying evenings. ATTACHED HEATED TRIPPLE GARAGE completes the picture. UPGRADES: Hardie cement-fibre siding, newer shingles, soffits, fascia, & eaves, UNDERGROUND SPRINKLER system. Walk or jog the trails in the parks & along the RIVER VALLEY! Minutes away from schools, all shopping & public transportation. Don't miss out!"
21 Ridgeland Way,Fort Saskatchewan,T8L 0E7,South Fort,AB,4,3,2,1,"$439,900",3898.04,1614,2010,10/5/2021,"Just bring your clothes? this FORMER SHOW HOME has everything you need to move right in!  This stunning Coventry built home has great curb appeal and a welcoming entrance leading to the open concept main living area with beautiful kitchen featuring a big island with eating bar, corner pantry, 40\u0022 upper cabinets, SS appliances, sunny dining space with patio doors leading to deck and backyard, and adjacent is the living room with cozy gas fireplace plus a 2 pc bath with walk thru to the laundry room on the main floor. Up the stairs is a spacious bonus room with lots of windows and 3 great sized bedrooms! The primary is to die for with luxurious ensuite and walk in closet. Downstairs has another fabulous entertainment space with another gas fireplace, 4 pc bath and 4th bedroom.  PLUS: A/C, ALL FURNISHINGS / DISHES / LINENS INCLUDED, surround sound system, plus insulated & heated garage."
31 26516 Twp Rd 514,Rural Parkland County,T7Y 1E9,Sandhills Estates,AB,5,4,3,1,"$1,499,000",-1.0,2535,2013,10/5/2021,"Located just 10 minutes to the Anthony Henday this home is DREAMY. Welcome to 31 Sandhills Estates! The gorgeous walk out bungalow is perfect for the growing or already large family with spare space for guests. The main floor will wow you with its 10'-12' coffered ceilings, oversized doors, Hunter Douglas blinds, laundry & vinyl plank flooring! You will find granite countertops, high end appliances, a luxurious large capacity custom refrigerator, gas stove top & 2 ovens in the master chef kitchen. The primary bedroom is spacious with its own entrance to the patio, a 6 piece en-suite with tile shower, soaker tub & a MASSIVE walk in closet. There are 2 more bedrooms on the main floor with a jack & jill bathroom and a great sized study. The basement is sure to impress with large windows, a grand wet bar area, 2 more bedrooms, a 5 piece bathroom with steam shower & heated floors, and a gym space. Head outside to enjoy your hot tub or have a some friends around your fire pit. There was no expense spared here!"
 Address Withheld,Edmonton,T6A 0E2,Terrace Heights (Edmonton),AB,3,3,3,-1,"$669,900",6048.02,1185,1960,10/5/2021,"Gorgeous home located in the desirable community of Terrace Heights. This newly renovated large family bungalow embodies three bedrooms and three bathrooms. Enjoy spending time with family and friends in the bright and spacious living room complete with wide plank engineered hardwood floors. This home institutes a wonderful kitchen with lots of counter space, storage, and high end appliances. The basement of the home offers a large entertainment space with wet bar, one bedroom, den and a three piece bathroom. Beautiful fenced and landscaped back yard with a double detached garage! The Terrace Heights community is a quiet, mature neighbourhood that is located nearby schools and other amenities. Come view this impressive home for yourself today!"
58304 Secondary 881,Rural St. Paul County,T0A 3A0,None,AB,5,4,3,1,"$949,900",-1.0,2494,2008,10/5/2021,"Impeccably maintained and luxuriously finished home located minutes to town is a deluxe showstopper! Property grounds are esthetically pleasing featuring 7 acres of landscaped paradise. Grand well-appointed, open floor plan, and open sightlines with lavish finishing's keep your interest. 3 bedrooms on the main, office, main floor laundry, walk-in pantry, grand formal dining, and fully finished basement with 2 additional bedrooms are only some of the reasons this dream home shines. Property features a expansive double attached garage & a sizable 50x100 finished, heated shop with water and sewer and 14'x14' overhead door. Surely, this home checks off all the boxes of that wish- list!"
36 Summercourt Way,Sherwood Park,T8H 2V8,Summerwood,AB,3,3,2,1,"$575,000",4768.41,2205,2005,10/5/2021,"TRIPLE ATTACHED GARAGE on a well maintained home with a backyard oasis including an aggregate patio and pergola backing on to a green space!!!  This one owner home is ready for a new family and includes A/C, a large den off the entrance and then the welcoming main living area with roomy living room with cozy gas fireplace, dining room overlooking the backyard, kitchen with raised eating bar, plus the laundry room and 2 pc powder room complete the main level. Upstairs the Bonus room has double doors as does the primary bedroom and all 3 bedrooms are a good size and the primary ensuite has a jetted soaker tub and separate shower. The triple garage is heated with lots of built-in shelving too. Close to everything you need with a playground in the green space just a few doors down plus quick access to Hwys 16 & 21."
11639 167A Avenue,Edmonton,T5X 6J5,Canossa,AB,3,4,3,1,"$419,900",4259.92,1535,2005,10/5/2021,Meticulously maintained modern two-storey in the quiet neighbourhood of Canossa. This turn key residence benefits from a bright and open main floor. Classic three bedrooms above with a generous master/walking closet/ensuite combination. the basement is beautifully developed and the attached insulated garage has been lovingly maintained. The backyard is comes complete with a stamped concrete deck and is perfect for entertaining. The area is rich in amenities. Move right in and enjoy.
